# TABLA DE CARGA DE CONTINGENCIA — NO ES CFD
# Fuente: XFLR5 v6.61, metodo de paneles 3D, flujo potencial (inviscid)
# Geometria: doble cuna, Nalci & Kayran (2014), escala real x lambda=1.0
# Eje de bisagra: 50% cuerda de raiz
# Condicion de vuelo: nivel del mar, T=15C, rho=1.225 kg/m3
# LIMITACIONES:
#   - Sin viscosidad ni compresibilidad (Cm identico entre Mach, verificado)
#   - Solo 2 dimensiones: Mach y angulo TOTAL (no AoA/deflexion por separado)
#   - NO incluye velocidad angular de deflexion (XFLR5 es estatico/cuasi-estacionario)
#   - Factor de escala lambda=1.0 -- ver PENDIENTE en Geometria_Aleta_Referencia.md §5
#   - No cumple RNF-PRE-01 (no hay error de interpolacion respecto a CFD, no hay CFD de referencia)
#   - USO PREVISTO: prueba del pipeline de software (interpolacion, control), no caracterizacion real
# Ver: 04_CFD/02_Valores_Referencia_XFLR5.md, 04_CFD/01_Casos/01_Geometria_Aleta_Referencia.md
mach,angulo_deg,torque_bisagra_Nm,torque_bisagra_Nm_referencia_sin_escalar,lambda_escala_aplicado
0.6,-9.75,-2.9094769325830523,-2.9094769325830523,1.0
0.6,-9.5,-2.8375780854348083,-2.8375780854348083,1.0
0.6,-9.25,-2.765511901947197,-2.765511901947197,1.0
0.6,-9.0,-2.693278382120218,-2.693278382120218,1.0
0.6,-8.75,-2.6207659683942928,-2.6207659683942928,1.0
0.6,-8.5,-2.5480862183290007,-2.5480862183290007,1.0
0.6,-8.25,-2.47523913192434,-2.47523913192434,1.0
0.6,-8.0,-2.402168930400524,-2.402168930400524,1.0
0.6,-7.75,-2.3289313925373394,-2.3289313925373394,1.0
0.6,-7.5,-2.255526518334788,-2.255526518334788,1.0
0.6,-7.25,-2.181954307792869,-2.181954307792869,1.0
0.6,-7.0,-2.108214760911583,-2.108214760911583,1.0
0.6,-6.75,-2.0343078776909285,-2.0343078776909285,1.0
0.6,-6.5,-1.9602336581309063,-1.9602336581309063,1.0
0.6,-6.25,-1.8860478810113064,-1.8860478810113064,1.0
0.6,-6.0,-1.8116947675523387,-1.8116947675523387,1.0
0.6,-5.75,-1.7372300965337928,-1.7372300965337928,1.0
0.6,-5.5,-1.6626538679556686,-1.6626538679556686,1.0
0.6,-5.25,-1.5879103030381767,-1.5879103030381767,1.0
0.6,-5.0,-1.5130551805611068,-1.5130551805611068,1.0
0.6,-4.75,-1.438088500524458,-1.438088500524458,1.0
0.6,-4.5,-1.3630102629282312,-1.3630102629282312,1.0
0.6,-4.25,-1.287876246552215,-1.287876246552215,1.0
0.6,-4.0,-1.212574893836832,-1.212574893836832,1.0
0.6,-3.75,-1.137217762341659,-1.137217762341659,1.0
0.6,-3.5,-1.0618048520666972,-1.0618048520666972,1.0
0.6,-3.25,-0.9862803842321568,-0.9862803842321568,1.0
0.6,-3.0,-0.9107001376178276,-0.9107001376178276,1.0
0.6,-2.75,-0.8350083334439198,-0.8350083334439198,1.0
0.6,-2.5,-0.7593165292700119,-0.7593165292700119,1.0
0.6,-2.25,-0.6835131675365258,-0.6835131675365258,1.0
0.6,-2.0,-0.6077098058030398,-0.6077098058030398,1.0
0.6,-1.75,-0.5318506652897645,-0.5318506652897645,1.0
0.6,-1.5,-0.4559357459967,-0.4559357459967,1.0
0.6,-1.25,-0.3799650479238464,-0.3799650479238464,1.0
0.6,-1.0,-0.3039943498509928,-0.3039943498509928,1.0
0.6,-0.75,-0.2280236517781391,-0.2280236517781391,1.0
0.6,-0.5,-0.1519971749254964,-0.1519971749254964,1.0
